school_id,school_name,year_school_opened,admission_type,governance,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,school_year
6270,Jenks Academy for Arts and Sciences,1924,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6300,James Logan School,1924,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
6310,John F. McCloskey School,1956,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6320,Thomas Mifflin School,1937,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6340,Joseph Pennell School,1927,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
6350,Samuel Pennypacker School,1930,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6360,Theodore Roosevelt School,2013,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6380,Shawmont School,1928,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6390,Edward T. Steel School,1973,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6400,Widener Memorial School,1953,Citywide,District,1,1,1,1,1,1,1,1,1,1,1,1,1,2018-19
6410,Cook-Wissahickon School,1969,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6440,Anna L. Lingelbach School,1955,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6450,James Dobson School,1930,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6460,Hill-Freedman World Academy,1980,Special Admit,District,0,0,0,0,0,0,1,1,1,1,1,1,1,2018-19
6470,John B. Kelly School,1970,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
6480,Academy for the Middle Years at Northwest,2012,Special Admit,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
6540,Lankenau High School,1987,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
7010,Frankford High School,1914,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
7100,Jay Cooke School,1923,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7110,Warren G. Harding School,1924,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
7120,Samuel Fels High School,1954,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
7130,General Louis Wagner School,1928,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
7150,Juniata Park Academy,2007,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7200,Clara Barton School,1925,Neighborhood,District,1,1,1,0,0,0,0,0,0,0,0,0,0,2018-19
7220,Laura H. Carnell School,1931,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7260,Ellwood School,1957,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7270,Thomas K. Finletter School,1930,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7280,Benjamin Franklin School,1915,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7290,Allen M. Stearne School,1968,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7300,Francis Hopkinson School,1927,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7310,Feltonville Intermediate School,1908,Neighborhood,District,0,0,0,1,1,1,0,0,0,0,0,0,0,2018-19
7320,Julia W. Howe School,1913,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7330,Henry W. Lawton School,1973,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7350,James R. Lowell School,1913,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0,2018-19
7360,John Marshall School,1909,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7370,"Grover Washington, Jr. School",2000,Neighborhood,District,0,0,0,0,0,1,1,1,1,0,0,0,0,2018-19
7380,Alexander K. McClure School,1910,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7390,Andrew J. Morrison School,1924,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7400,Olney School,1900,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7430,James J. Sullivan School,1930,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7440,Bayard Taylor School,1907,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7460,William H. Ziegler School,1957,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7470,Bridesburg School,1958,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7490,Prince Hall School,1971,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7500,Feltonville School of Arts and Sciences,1993,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
7510,Mary M. Bethune School,1970,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
7530,William Rowen School,1938,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
7730,Roberto Clemente School,1916,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
8010,Abraham Lincoln High School,1950,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8020,Northeast High School,1957,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8030,George Washington High School,1963,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8040,Arts Academy at Benjamin Rush,2008,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8070,OIC CADI,2004,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8080,Excel Academy North,2005,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8090,Swenson Arts and Technology High School,2000,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8100,Gateway to College - Community College of Philadelphia,2006,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8120,Woodrow Wilson School,1928,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
8140,Austin Meehan School,1970,Neighborhood,District,0,0,0,0,0,0,0,1,1,0,0,0,0,2018-19
8160,Baldi School,1971,Neighborhood,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
8190,One Bright Ray - Fairhill Campus,2004,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8200,Ethan Allen School,1930,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8210,Joseph H. Brown School,1937,Neighborhood,District,1,1,1,1,1,1,1,0,0,0,0,0,0,2018-19
8230,Kennedy C. Crossan School,1924,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8240,Hamilton Disston School,1924,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8250,Edwin Forrest School,1929,Neighborhood,District,1,1,1,1,1,1,1,0,0,0,0,0,0,2018-19
8260,Fox Chase School,1949,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8270,Thomas Holme School,1950,Neighborhood,District,1,1,1,1,1,1,1,0,0,0,0,0,0,2018-19
8300,Mayfair School,1949,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8310,J. Hampton Moore School,1952,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8340,Solomon Solis-Cohen School,1948,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8350,Gilbert Spruance School,1949,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8360,Rhawnhurst School,1949,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8370,Watson Comly School,1929,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8380,Louis H. Farrell School,1959,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8390,A.L. Fitzpatrick School,1960,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8400,Anne Frank School,1962,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8410,Robert B. Pollock School,1962,Neighborhood,District,1,1,1,1,1,1,1,0,0,0,0,0,0,2018-19
8420,Stephen Decatur School,1964,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8430,Joseph Greenberg School,1964,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
